"	""	comments"""
"0	""0	This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit"""
"1	""1	1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp"
"2	""2	Green/Orange circular disc over Chester&#44 England"""
"3	""3	My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home"""
"4	""4	AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot"
"5	""5	My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi"""
"6	""6	penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal"""
"7	""7	A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines."""
"8	""8	Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama"""
"9	""9	Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info"""
"10	""10	ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES ."""
"11	""11	silent red /orange mass of energy floated by three of us in western North Carolina in the 60s"""
"12	""12	silver disc seen by family and neighbors"""
"13	""13	Slow moving&#44 silent craft accelerated at an unbelievable angle and speed."""
"14	""14	green oval shaped light over my local church&#44power lines down.."""
"15	""15	On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge"""
"16	""16	The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio."""
"17	""17	Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake."""
"18	""18	saw fast moving blip on the radar scope thin went outside and saw it again."""
"19	""19	Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l"""
"20	""20	back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca"""
"21	""21	The light chased us."""
"22	""22	Several Flashing UFO lights over Charleston Naval Base in S.C."""
"23	""23	Three extremely large lights hanging above nearby trees."""
"24	""24	White object over Buckinghamshire UK."""
"25	""25	i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind"""
"26	""26	HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light."""
"27	""27	A memory I will never forget that happened meny years ago."""
"28	""28	1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features."""
"29	""29	Lights far above&#44  that glance"
"30	""30	My 2nd UFO sighting&#44 October 1979"""
"31	""31	very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s"""
"32	""32	Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980."""
"33	""33	Strange shape shifting craft of pure light energy."""
"34	""34	A red glowing sphere stopped and watched me."""
"35	""35	gisborne nz 1982 wainui beach to sponge bay"""
"36	""36	2 experience with unkown"""
"37	""37	translucent football seen over city airport"""
"38	""38	Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif"""
"39	""39	three light in the sky that led to a big black silent triangle shaped craft."""
"40	""40	Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound"""
"41	""41	A silent black triangular object with no lights moved over us as we walked our dog across a school playground."""
"42	""42	I&#39m still afraid to look at the sky at night."""
"43	""43	Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish"""
"44	""44	Two adult witnesses are stunned by the sound of an object that streaks above the home they are in."""
"45	""45	Unidentified object on Mulholland Highway."""
"46	""46	A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points."""
"47	""47	Triangle seen in franklin Ky - october 1989"""
"48	""48	Translucent Craft that makes No Sound While Moving"""
"49	""49	A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30"""
"50	""50	We observed 3 triangular shaped high speed objects&#33"""
"51	""51	During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf."""
"52	""52	A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot."""
"53	""53	Stationary Elongated UFO 200ft above vacant field with city lights on bottom"""
"54	""54	Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft."""
"55	""55	I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment"""
"56	""56	Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears."""
"57	""57	1 object with green and red lights"""
"58	""58	ufo chased by fighter jet over Rio Grande Valley. Seen on news"""
"59	""59	Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY."""
"60	""60	Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94."""
"61	""61	Large rusty sphere"""
"62	""62	Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33"""
"63	""63	Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side."""
"64	""64	illuminated triangular craft&#44 flying at high speed from South to North"""
"65	""65	RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT"""
"66	""66	Flashing object above Charleston&#44 SC"""
"67	""67	Looked like it went through the hillside"""
"68	""68	3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles ."""
"69	""69	A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes"""
"70	""70	Triangular Object Sighted at Very Close Range"""
"71	""71	i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car"""
"72	""72	I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a"""
"73	""73	bright green moving north to north east. it was bright green and kinda clear. quite fast too."""
"74	""74	While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I"""
"75	""75	White&#44 vertical cigar shape floating around in the eastern sky."""
"76	""76	Ufo sighting in las vegas near Area51"""
"77	""77	Lights over NYC"""
"78	""78	Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet"""
"79	""79	Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light."""
"80	""80	Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright."""
"81	""81	I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp"""
"82	""82	Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de"""
"83	""83	Orange object over city."""
"84	""84	group of   twinkling lights at high altitude"""
"85	""85	At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky."""
"86	""86	Standing outside saying goodby to family members and pointing to Chem-Trails"""
"87	""87	Many different colored glowing  objects"""
"88	""88	Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse."""
"89	""89	Object moving erratically in sky stopped by spot light"""
"90	""90	A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel"""
"91	""91	Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of"""
"92	""92	Oval shaped with lights all around it in a haze with several smaller lights flying all around it."""
"93	""93	The craft was big&#44 orange&#44 and oval shaped."""
"94	""94	Unusual light formation moving extremely fast across the sky."""
"95	""95	Smooth Shiny Cylinder"""
"96	""96	5 bight light V shaped"""
"97	""97	Driving on Hyw.141 at Hyw. 44 and going East&#44 I witnessed to my right a glowing orb of light streak horizontally from East to West at a"""
"98	""98	3 bright golden lights moving independently above the tree line flaring and fading intermittently for approx. 15 min."""
"99	""99	Two objects traveling side by side pass over&#44 as one begins to zig&#44 zag it&#39s path."""
"100	""100	Dark object in the shape of a (4) after dusk in West Seattle"""
"101	""101	One night my window started to flash"""
"102	""102	Large&#44silent&#44slow&#44low to the ground dull-black Triangle UFO with round red lights at it&#39s corners that were off .I drew it."""
"103	""103	formation and impact"""
"104	""104	I observed an green object significantly above a house with the address ((deleted)) Dunbar Street."""
"105	""105	FALLING STAR  STOPS  &#39SHOTS OUT  DOZENS OF RED POINTS OF LIGHT"""
"106	""106	We saw a square object at night&#44  which had 2 blue &amp"
